shipment_id,order_id,carrier,tracking_number,status,shipped_at,delivered_at,created_at
SHIP-10201,ORD-10201,Ekart,TRK851333320,DELIVERED,2024-09-23 23:36:00,2024-09-26 07:36:00,2024-09-23 23:36:00
SHIP-10202,ORD-10202,DTDC,TRK630208579,DELIVERED,2024-07-24 21:02:00,2024-07-27 00:02:00,2024-07-24 21:02:00
SHIP-10203,ORD-10203,Ekart,TRK748232591,DELIVERED,2024-06-14 03:27:00,2024-06-15 17:27:00,2024-06-14 03:27:00
SHIP-10204,ORD-10204,DTDC,TRK730418447,IN_TRANSIT,2024-07-15 09:35:00,,2024-07-15 09:35:00
SHIP-10205,ORD-10205,DTDC,TRK143198431,DELIVERED,2024-02-21 09:22:00,2024-02-23 15:22:00,2024-02-21 09:22:00
SHIP-10206,ORD-10206,DTDC,TRK799552991,DELIVERED,2024-04-27 03:27:00,2024-04-28 14:27:00,2024-04-27 03:27:00
SHIP-10207,ORD-10207,DTDC,TRK568027936,DELIVERED,2024-02-19 07:31:00,2024-02-20 12:31:00,2024-02-19 07:31:00
SHIP-10208,ORD-10208,FedEx,TRK473620340,DELIVERED,2024-12-18 07:18:00,2024-12-21 01:18:00,2024-12-18 07:18:00
SHIP-10209,ORD-10209,Bluedart,TRK272684373,DELIVERED,2024-02-20 21:00:00,2024-02-22 15:00:00,2024-02-20 21:00:00
SHIP-10210,ORD-10210,FedEx,TRK973559879,DELIVERED,2024-10-28 00:40:00,2024-10-30 05:40:00,2024-10-28 00:40:00
SHIP-10211,ORD-10211,Bluedart,TRK437710224,DELIVERED,2024-12-06 23:14:00,2024-12-09 00:14:00,2024-12-06 23:14:00
SHIP-10212,ORD-10212,DTDC,TRK985758835,IN_TRANSIT,2024-06-09 10:25:00,,2024-06-09 10:25:00
SHIP-10213,ORD-10213,FedEx,TRK543721204,DELIVERED,2024-04-25 01:27:00,2024-04-27 00:27:00,2024-04-25 01:27:00
SHIP-10214,ORD-10214,DTDC,TRK912224654,DELIVERED,2024-05-23 14:29:00,2024-05-26 14:29:00,2024-05-23 14:29:00
SHIP-10215,ORD-10215,Bluedart,TRK318568997,DELIVERED,2024-01-15 15:36:00,2024-01-17 09:36:00,2024-01-15 15:36:00
SHIP-10216,ORD-10216,FedEx,TRK849740261,DELIVERED,2024-01-04 11:58:00,2024-01-07 03:58:00,2024-01-04 11:58:00
SHIP-10217,ORD-10217,DTDC,TRK958256589,DELIVERED,2024-11-20 11:11:00,2024-11-22 06:11:00,2024-11-20 11:11:00
SHIP-10218,ORD-10218,DTDC,TRK114682844,DELIVERED,2024-08-20 18:27:00,2024-08-22 08:27:00,2024-08-20 18:27:00
SHIP-10219,ORD-10219,Bluedart,TRK595475899,IN_TRANSIT,2024-02-13 11:17:00,,2024-02-13 11:17:00
SHIP-10220,ORD-10220,FedEx,TRK869446962,DELIVERED,2024-05-20 04:49:00,2024-05-22 06:49:00,2024-05-20 04:49:00
SHIP-10221,ORD-10221,FedEx,TRK607042130,DELIVERED,2024-04-21 15:16:00,2024-04-23 00:16:00,2024-04-21 15:16:00
SHIP-10222,ORD-10222,FedEx,TRK304666325,IN_TRANSIT,2024-12-14 16:40:00,,2024-12-14 16:40:00
SHIP-10223,ORD-10223,Delhivery,TRK174958005,DELIVERED,2024-07-22 14:04:00,2024-07-24 11:04:00,2024-07-22 14:04:00
SHIP-10224,ORD-10224,DTDC,TRK386874458,DELIVERED,2024-05-11 00:24:00,2024-05-13 22:24:00,2024-05-11 00:24:00
SHIP-10225,ORD-10225,Ekart,TRK999232921,DELIVERED,2024-03-31 01:33:00,2024-04-01 10:33:00,2024-03-31 01:33:00
SHIP-10226,ORD-10226,FedEx,TRK678296492,DELIVERED,2024-12-09 03:11:00,2024-12-11 14:11:00,2024-12-09 03:11:00
SHIP-10227,ORD-10227,DTDC,TRK505026213,DELIVERED,2024-08-23 19:11:00,2024-08-25 07:11:00,2024-08-23 19:11:00
SHIP-10228,ORD-10228,Delhivery,TRK713963047,DELIVERED,2024-11-24 08:21:00,2024-11-25 10:21:00,2024-11-24 08:21:00
SHIP-10229,ORD-10229,Ekart,TRK899621068,DELIVERED,2024-11-13 09:04:00,2024-11-15 09:04:00,2024-11-13 09:04:00
SHIP-10230,ORD-10230,Delhivery,TRK631855083,IN_TRANSIT,2024-02-24 17:34:00,,2024-02-24 17:34:00
SHIP-10231,ORD-10231,DTDC,TRK733701411,DELIVERED,2024-06-08 08:23:00,2024-06-10 12:23:00,2024-06-08 08:23:00
SHIP-10232,ORD-10232,Bluedart,TRK664735673,IN_TRANSIT,2024-11-20 09:53:00,,2024-11-20 09:53:00
SHIP-10233,ORD-10233,Delhivery,TRK540211187,DELIVERED,2024-04-30 13:17:00,2024-05-01 17:17:00,2024-04-30 13:17:00
SHIP-10234,ORD-10234,FedEx,TRK939156387,IN_TRANSIT,2024-12-01 18:14:00,,2024-12-01 18:14:00
SHIP-10235,ORD-10235,DTDC,TRK843785903,DELIVERED,2024-12-15 02:42:00,2024-12-16 23:42:00,2024-12-15 02:42:00
SHIP-10236,ORD-10236,DTDC,TRK508031980,IN_TRANSIT,2024-03-19 11:06:00,,2024-03-19 11:06:00
SHIP-10237,ORD-10237,DTDC,TRK138546365,DELIVERED,2024-06-30 05:21:00,2024-07-02 21:21:00,2024-06-30 05:21:00
SHIP-10238,ORD-10238,Ekart,TRK344261532,DELIVERED,2024-07-08 04:18:00,2024-07-09 10:18:00,2024-07-08 04:18:00
SHIP-10239,ORD-10239,Bluedart,TRK576396216,DELIVERED,2024-07-16 05:51:00,2024-07-17 06:51:00,2024-07-16 05:51:00
SHIP-10240,ORD-10240,Bluedart,TRK448294647,DELIVERED,2024-06-14 10:50:00,2024-06-16 08:50:00,2024-06-14 10:50:00
SHIP-10241,ORD-10241,Ekart,TRK562446417,DELIVERED,2024-06-25 20:16:00,2024-06-27 22:16:00,2024-06-25 20:16:00
SHIP-10242,ORD-10242,DTDC,TRK832077572,DELIVERED,2024-08-13 01:48:00,2024-08-14 12:48:00,2024-08-13 01:48:00
SHIP-10243,ORD-10243,Bluedart,TRK754436820,DELIVERED,2024-05-25 01:43:00,2024-05-27 08:43:00,2024-05-25 01:43:00
SHIP-10244,ORD-10244,DTDC,TRK253671484,DELIVERED,2024-06-20 16:24:00,2024-06-22 21:24:00,2024-06-20 16:24:00
SHIP-10245,ORD-10245,Ekart,TRK816014770,DELIVERED,2024-12-03 15:56:00,2024-12-05 09:56:00,2024-12-03 15:56:00
SHIP-10246,ORD-10246,DTDC,TRK269625036,DELIVERED,2024-06-29 02:43:00,2024-07-01 15:43:00,2024-06-29 02:43:00
SHIP-10247,ORD-10247,Ekart,TRK786055206,IN_TRANSIT,2024-06-08 07:42:00,,2024-06-08 07:42:00
SHIP-10248,ORD-10248,FedEx,TRK424400672,DELIVERED,2024-02-18 14:58:00,2024-02-20 20:58:00,2024-02-18 14:58:00
SHIP-10249,ORD-10249,Bluedart,TRK354697684,DELIVERED,2024-06-07 22:16:00,2024-06-10 10:16:00,2024-06-07 22:16:00
SHIP-10250,ORD-10250,Ekart,TRK850845198,DELIVERED,2024-03-11 22:09:00,2024-03-13 15:09:00,2024-03-11 22:09:00
SHIP-10251,ORD-10251,Bluedart,TRK707661655,DELIVERED,2024-10-04 07:13:00,2024-10-06 21:13:00,2024-10-04 07:13:00
SHIP-10252,ORD-10252,FedEx,TRK994253959,IN_TRANSIT,2024-11-02 03:15:00,,2024-11-02 03:15:00
SHIP-10253,ORD-10253,Delhivery,TRK751831074,DELIVERED,2024-01-24 02:25:00,2024-01-26 18:25:00,2024-01-24 02:25:00
SHIP-10254,ORD-10254,Delhivery,TRK766676815,DELIVERED,2024-08-17 17:52:00,2024-08-20 09:52:00,2024-08-17 17:52:00
SHIP-10255,ORD-10255,Bluedart,TRK773728014,DELIVERED,2024-12-14 09:30:00,2024-12-16 13:30:00,2024-12-14 09:30:00
SHIP-10256,ORD-10256,Bluedart,TRK722312633,DELIVERED,2024-09-27 23:28:00,2024-09-29 04:28:00,2024-09-27 23:28:00
SHIP-10257,ORD-10257,Ekart,TRK450811990,DELIVERED,2024-11-25 02:56:00,2024-11-26 14:56:00,2024-11-25 02:56:00
SHIP-10258,ORD-10258,Delhivery,TRK944511703,DELIVERED,2024-03-05 02:10:00,2024-03-07 11:10:00,2024-03-05 02:10:00
SHIP-10259,ORD-10259,DTDC,TRK392624015,DELIVERED,2024-03-17 03:20:00,2024-03-19 09:20:00,2024-03-17 03:20:00
SHIP-10260,ORD-10260,Ekart,TRK901611993,DELIVERED,2024-01-14 22:12:00,2024-01-17 03:12:00,2024-01-14 22:12:00
SHIP-10261,ORD-10261,Bluedart,TRK251136695,DELIVERED,2024-02-12 00:26:00,2024-02-14 19:26:00,2024-02-12 00:26:00
SHIP-10262,ORD-10262,FedEx,TRK963919401,DELIVERED,2024-03-15 12:07:00,2024-03-17 13:07:00,2024-03-15 12:07:00
SHIP-10263,ORD-10263,Bluedart,TRK383960237,DELIVERED,2024-08-29 10:50:00,2024-08-31 09:50:00,2024-08-29 10:50:00
SHIP-10264,ORD-10264,Ekart,TRK727666622,DELIVERED,2024-04-20 21:41:00,2024-04-22 03:41:00,2024-04-20 21:41:00
SHIP-10265,ORD-10265,Delhivery,TRK606244434,DELIVERED,2024-05-28 06:24:00,2024-05-30 02:24:00,2024-05-28 06:24:00
SHIP-10266,ORD-10266,DTDC,TRK337691219,DELIVERED,2024-11-15 10:09:00,2024-11-18 06:09:00,2024-11-15 10:09:00
SHIP-10267,ORD-10267,Ekart,TRK797115550,DELIVERED,2024-11-20 02:52:00,2024-11-21 04:52:00,2024-11-20 02:52:00
SHIP-10268,ORD-10268,Bluedart,TRK426808977,IN_TRANSIT,2024-01-02 04:41:00,,2024-01-02 04:41:00
SHIP-10269,ORD-10269,Bluedart,TRK352114611,DELIVERED,2024-09-25 21:08:00,2024-09-27 21:08:00,2024-09-25 21:08:00
SHIP-10270,ORD-10270,FedEx,TRK498370582,DELIVERED,2024-09-17 16:12:00,2024-09-19 18:12:00,2024-09-17 16:12:00
SHIP-10271,ORD-10271,DTDC,TRK897005281,DELIVERED,2024-07-18 06:34:00,2024-07-20 23:34:00,2024-07-18 06:34:00
SHIP-10272,ORD-10272,Bluedart,TRK995171130,DELIVERED,2024-05-04 18:46:00,2024-05-06 11:46:00,2024-05-04 18:46:00
SHIP-10273,ORD-10273,Bluedart,TRK841183219,DELIVERED,2024-06-30 13:30:00,2024-07-02 17:30:00,2024-06-30 13:30:00
SHIP-10274,ORD-10274,Delhivery,TRK489431174,DELIVERED,2024-09-03 13:27:00,2024-09-05 23:27:00,2024-09-03 13:27:00
SHIP-10275,ORD-10275,Ekart,TRK165015165,DELIVERED,2024-01-19 21:29:00,2024-01-21 04:29:00,2024-01-19 21:29:00
SHIP-10276,ORD-10276,FedEx,TRK198433586,DELIVERED,2024-06-07 22:36:00,2024-06-09 01:36:00,2024-06-07 22:36:00
SHIP-10277,ORD-10277,Ekart,TRK361530104,IN_TRANSIT,2024-01-20 20:30:00,,2024-01-20 20:30:00
SHIP-10278,ORD-10278,Delhivery,TRK173669588,DELIVERED,2024-05-20 03:03:00,2024-05-21 16:03:00,2024-05-20 03:03:00
SHIP-10279,ORD-10279,DTDC,TRK331875999,DELIVERED,2024-07-16 23:14:00,2024-07-18 20:14:00,2024-07-16 23:14:00
SHIP-10280,ORD-10280,Delhivery,TRK946799779,IN_TRANSIT,2024-05-16 08:57:00,,2024-05-16 08:57:00
SHIP-10281,ORD-10281,Ekart,TRK255357534,IN_TRANSIT,2024-10-07 08:38:00,,2024-10-07 08:38:00
SHIP-10282,ORD-10282,Ekart,TRK957397689,DELIVERED,2024-06-05 20:50:00,2024-06-07 04:50:00,2024-06-05 20:50:00
SHIP-10283,ORD-10283,Bluedart,TRK484659715,DELIVERED,2024-06-29 03:08:00,2024-07-01 16:08:00,2024-06-29 03:08:00
SHIP-10284,ORD-10284,Ekart,TRK116944811,DELIVERED,2024-05-21 03:55:00,2024-05-22 11:55:00,2024-05-21 03:55:00
SHIP-10285,ORD-10285,FedEx,TRK664880035,DELIVERED,2024-07-26 19:40:00,2024-07-29 01:40:00,2024-07-26 19:40:00
SHIP-10286,ORD-10286,FedEx,TRK935389432,DELIVERED,2024-11-08 21:56:00,2024-11-10 03:56:00,2024-11-08 21:56:00
SHIP-10287,ORD-10287,FedEx,TRK640992677,DELIVERED,2024-11-26 18:28:00,2024-11-29 16:28:00,2024-11-26 18:28:00
SHIP-10288,ORD-10288,DTDC,TRK423873102,DELIVERED,2024-12-13 20:36:00,2024-12-14 23:36:00,2024-12-13 20:36:00
SHIP-10289,ORD-10289,FedEx,TRK531233244,DELIVERED,2024-09-28 20:41:00,2024-10-01 03:41:00,2024-09-28 20:41:00
SHIP-10290,ORD-10290,FedEx,TRK178910051,DELIVERED,2024-01-15 15:19:00,2024-01-18 05:19:00,2024-01-15 15:19:00
SHIP-10301,ORD-10301,Delhivery,TRK170525764,DELIVERED,2024-01-30 03:39:00,2024-02-01 14:39:00,2024-01-30 03:39:00
SHIP-10302,ORD-10302,Ekart,TRK508992977,IN_TRANSIT,2024-04-26 09:42:00,,2024-04-26 09:42:00
SHIP-10303,ORD-10303,Ekart,TRK587173220,DELIVERED,2024-11-22 12:21:00,2024-11-23 18:21:00,2024-11-22 12:21:00
SHIP-10304,ORD-10304,Bluedart,TRK802992685,DELIVERED,2024-09-15 19:24:00,2024-09-18 17:24:00,2024-09-15 19:24:00
SHIP-10305,ORD-10305,Delhivery,TRK561784080,DELIVERED,2024-06-22 07:16:00,2024-06-24 09:16:00,2024-06-22 07:16:00
SHIP-10316,ORD-10316,Ekart,TRK988434627,DELIVERED,2024-05-25 11:16:00,2024-05-28 09:16:00,2024-05-25 11:16:00
SHIP-10317,ORD-10317,Bluedart,TRK435596237,DELIVERED,2024-01-05 18:15:00,2024-01-07 17:15:00,2024-01-05 18:15:00
SHIP-10318,ORD-10318,Delhivery,TRK837468465,IN_TRANSIT,2024-07-25 19:28:00,,2024-07-25 19:28:00
SHIP-10319,ORD-10319,Bluedart,TRK993108266,DELIVERED,2024-05-27 21:40:00,2024-05-29 03:40:00,2024-05-27 21:40:00
SHIP-10320,ORD-10320,Ekart,TRK971630639,DELIVERED,2024-03-06 11:18:00,2024-03-09 00:18:00,2024-03-06 11:18:00
